SensorNumber,streetlights_10m,streetlights_25m,streetlights_50m
1,5,16,36
101,1,2,14
103,0,3,13
104,0,6,12
105,0,0,0
11,2,5,8
12,2,4,11
13,2,6,22
14,1,1,4
15,0,1,2
16,2,2,10
18,3,10,20
19,1,15,24
2,3,9,33
20,6,12,21
21,2,5,12
22,2,5,15
23,1,1,8
24,1,2,9
25,1,1,10
26,1,1,8
27,3,9,16
28,2,5,18
29,3,13,21
30,5,14,29
31,3,8,19
32,2,7,20
33,2,6,18
34,3,7,19
35,2,5,19
36,1,2,6
37,3,17,24
38,2,6,15
39,3,8,20
4,0,3,10
40,2,3,6
41,1,5,12
42,2,4,8
43,1,3,12
44,1,2,6
45,1,1,7
47,1,4,6
48,1,2,6
49,0,3,11
5,0,1,10
50,0,4,13
51,1,7,17
54,0,0,5
56,1,7,19
6,0,3,8
61,0,1,4
62,1,4,11
63,2,2,25
64,1,3,17
67,1,8,16
7,1,5,10
8,1,1,1
9,1,1,3
