SensorNumber,Longitude,Latitude
1,-2.591538,51.453815
101,-2.60026,51.455551
103,-2.59698,51.45768
104,-2.60206,51.455559
105,-2.60056,51.457691
11,-2.60682,51.463131
12,-2.5962,51.458141
13,-2.59318,51.452721
14,-2.58869,51.451591
15,-2.593,51.407669
16,-2.59207,51.406502
18,-2.59321,51.40678
19,-2.55208,51.457859
2,-2.592004,51.453865
20,-2.55224,51.45771
21,-2.55377,51.452221
22,-2.55413,51.452122
23,-2.56552,51.45755
24,-2.5645,51.456928
25,-2.56439,51.45668
26,-2.56438,51.45565
27,-2.56394,51.4561
28,-2.55787,51.45726
29,-2.56222,51.456741
30,-2.56216,51.456539
31,-2.55117,51.459671
32,-2.55049,51.45974
33,-2.5508,51.459839
34,-2.5608,51.454868
35,-2.56035,51.454739
36,-2.56207,51.453049
37,-2.55434,51.457649
38,-2.55316,51.459541
39,-2.55033,51.459499
4,-2.595743,51.453281
40,-2.54499,51.458118
41,-2.54301,51.460442
42,-2.55535,51.457691
43,-2.55157,51.455051
44,-2.55153,51.455669
45,-2.56587,51.456242
47,-2.55944,51.469219
48,-2.608546,51.464279
49,-2.58758,51.45163
5,-2.590382,51.453285
50,-2.58764,51.45192
51,-2.58522,51.45005
54,-2.5901,51.452999
56,-2.57586,51.469688
6,-2.59043,51.453117
61,-2.61689,51.478741
62,-2.61554,51.479488
63,-2.61621,51.47913
64,-2.61736,51.479549
67,-2.61099,51.479961
7,-2.620435,51.454567
8,-2.61991,51.453911
9,-2.62552,51.454319
