Sensor_ID,Businesses_within_100m,Businesses_within_200m,Businesses_within_300m
0,1,33,59
1,2,4,12
2,5,8,19
3,1,2,8
4,0,1,8
5,0,0,2
6,5,11,18
7,1,25,38
8,7,12,21
9,0,0,0
10,0,0,0
11,0,0,0
12,0,16,54
13,7,36,57
14,0,9,51
15,0,3,3
16,0,2,3
17,0,0,0
18,0,0,1
19,0,0,4
20,0,0,4
21,0,0,5
22,0,17,32
23,0,0,12
24,0,4,7
25,12,32,60
26,10,34,58
27,11,34,59
28,5,6,6
29,5,6,6
30,0,0,6
31,0,26,53
32,26,49,58
33,10,33,55
34,6,25,51
35,0,0,18
36,0,3,9
37,0,26,57
38,0,0,0
39,0,0,0
40,0,0,0
41,0,3,4
42,0,2,2
43,7,12,17
44,1,11,54
45,7,13,19
46,0,3,15
47,1,12,39
48,0,1,2
49,1,11,50
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,2,6,6
56,0,3,6
57,0,1,2
