X,Y,OBJECTID,FEATURE_LOCATION,FEAT_CENT_EAST,FEAT_CENT_NORTH,latitude,longitude,nearest_sensor_id,cluster_geo
359838.0,173397.0,1,Lamb St/ John Cozens House.,359838.0,173397.0,51.45763620929517,-2.578118851844099,51,2
359820.77,173383.710000001,2,"Lamb Street Bus Stop PTZ, St Jude's",359820.77,173383.71,51.45751548107167,-2.578365348094543,51,2
359803.55,173394.85,3,"John Cozens House Gardens PTZ, St Jude's",359803.55,173394.85,51.457614430371194,-2.5786144766975974,51,2
359767.45,173353.880000001,4,"Chartlon, Haviland & Langton Entrance Door's) Ext, St Jude's",359767.45,173353.88,51.457243458240384,-2.5791294333259995,51,2
359788.97,173377.73,5,"Haviland House Laundry #2, St Jude's",359788.97,173377.73,51.45745944961563,-2.578822392230833,51,2
359788.97,173377.73,6,"Haviland House Laundry #1, St Jude's",359788.97,173377.73,51.45745944961563,-2.578822392230833,51,2
359801.02,173390.310000001,7,"Haviland House Lift, St Jude's",359801.02,173390.31,51.45757342647002,-2.5786503769909013,51,2
359801.02,173390.310000001,8,"Haviland House Lower Entrance Door Internal, St Jude's",359801.02,173390.31,51.45757342647002,-2.5786503769909013,51,2
359801.02,173390.310000001,9,"Havliand House Main Entrance Lobby, St Jude's",359801.02,173390.31,51.45757342647002,-2.5786503769909013,51,2
358329.27,167593.57,10,Middleford Rear PTZ,358329.27,167593.57,51.405341990324764,-2.5991522695870106,51,2
359624.39,172233.039999999,11,Bath Bridge Roundabout,359624.39,172233.04,51.447154544842995,-2.5810606400290603,51,2
359411.9,173201.289999999,12,Lower Castle Street (Bike Rack),359411.9,173201.29,51.45584596464557,-2.5842296136267464,50,2
359269.52,173169.23,13,Castle Park (North),359269.52,173169.23,51.45554744897776,-2.58627523884146,50,2
359738.78,174050.439999999,14,"St Nicholas Road/Davey Street PTZ, St Paul's",359738.78,174050.44,51.46350496166694,-2.579621439161569,56,1
359706.76,174025.0,15,Corey Close Lane PTZ,359706.76,174025.0,51.46327392321594,-2.580079489947188,56,1
359665.15,174033.789999999,16,"St Paul's Gardens, Playground #2 PTZ, St Paul's",359665.15,174033.79,51.46334999905158,-2.580679496201226,56,1
359652.27,173995.630000001,17,"St Paul's Gardens, Play area #2 PTZ, St Paul's",359652.27,173995.63,51.46300594214581,-2.580860556111296,56,1
359700.19,174019.16,18,"St Paul's Gardens, Playground #1 PTZ, St Paul's",359700.19,174019.16,51.46322094142755,-2.5801734034771235,56,1
359664.45,174050.140000001,19,"Ludlow Close #2 PTZ, St Paul's",359664.45,174050.14,51.463496970000605,-2.5806914391725138,56,1
359598.19,174034.539999999,20,"Ludlow Close #1 PTZ, St Paul's",359598.19,174034.54,51.46335196575557,-2.5816435162621523,56,1
359615.6,174005.380000001,21,"Burnnel Drive Lane, Burnell/Ludlow PTZ, St Paul's",359615.6,174005.38,51.46309099902257,-2.581389555594311,56,1
359620.24,174011.789999999,22,"Ludlow Close Lift, St Paul's",359620.24,174011.79,51.46314896954436,-2.5813234923957,56,1
359669.73,174051.1,23,"Corey Close Laundry, St Paul's",359669.73,174051.1,51.46350597879924,-2.5806155393083814,56,1
359707.61,174017.99,24,"Corey Close Lift, St Paul's",359707.61,174017.99,51.46321094911035,-2.580066454466497,56,1
358905.0,173816.960000001,25,Dove Street-Spring Hill,358905.0,173816.96,51.46134554551057,-2.5915971412666328,12,2
357664.4,168453.35,26,Whitchurch Lane Middle,357664.4,168453.35,51.41302399578646,-2.6088140323098106,4,2
359561.0,173782.0,27,St Pauls Park,359561.0,173782.0,51.46107844389889,-2.582149997465317,56,1
362060.39,175149.24,28,Fishponds Road/Huyton Road,362060.39,175149.24,51.47354596995268,-2.546318009186485,47,1
361793.79,175035.01,29,Fishponds Road/Royate Hill,361793.79,175035.01,51.4725008525604,-2.550144417069307,47,1
361174.04,174883.65,30,Fishponds Road/Boswell Street,361174.04,174883.65,51.47109760298551,-2.559051322219772,47,1
361273.86,174957.52,31,Fishponds Road/Heath Street,361273.86,174957.52,51.471768694037955,-2.557622194804289,47,1
361456.35,175152.33,32,Fishponds Road/Muller Road (Shell Filling Station),361456.35,175152.33,51.47353291496479,-2.555015889912374,47,1
359597.33,173927.0,33,"Beggarswell Close #1 PTZ, St Paul's",359597.33,173927.0,51.462384893881406,-2.5816436031515724,56,1
359599.9,173909.07,34,"Princes Street PTZ, St Paul's",359599.9,173909.07,51.46222384901122,-2.581604557587543,56,1
358860.51,167630.060000001,35,Willow House Laundry,358860.51,167630.06,51.40570891018279,-2.591518640531251,51,2
358807.27,167660.189999999,36,Oak House Laundry,358807.27,167660.19,51.40597597866461,-2.592287600940395,51,2
358908.99,167491.199999999,37,Hartcliffe Chestnut House Ground Floor Stairwell,358908.99,167491.2,51.40446377251485,-2.5908055266721033,51,2
358908.6,167572.84,38,Hartcliffe Rowan House Ground Floor Stairwell,358908.6,167572.84,51.405197865398144,-2.5908205938230386,51,2
358859.83,167631.619999999,39,Hartcliffe Willow House Ground Floor Stairwell,358859.83,167631.62,51.40572288862989,-2.591528598249334,51,2
358883.15,167496.41,40,"Chestnut House, Rear PTZ",358883.15,167496.41,51.40450874848313,-2.5911776363791446,51,2
358934.75,167537.15,41,"Rowan House, The Groves PTZ",358934.75,167537.15,51.40487882927481,-2.5904404922037076,51,2
358881.61,167606.199999999,42,Willow House Front Door PTZ,358881.61,167606.2,51.40549588757258,-2.591212507648867,51,2
358806.0,167642.0,43,"oak house/willow rear door (externa bullet)
",358806.0,167642.0,51.405812318805886,-2.5923037473590114,51,2
358825.0,167649.0,44,"Oak House, The Groves PTZ",358825.0,167649.0,51.405876644169105,-2.5920313862896753,51,2
358934.75,167537.15,45,Chestnut House Rear Door (External Static),358934.75,167537.15,51.40487882927481,-2.5904404922037076,51,2
358913.07,167488.720000001,46,Chestnut House Rear Lobby,358913.07,167488.72,51.4044417675903,-2.590746580550728,51,2
358913.07,167488.720000001,47,Chestnut House Lift 02,358913.07,167488.72,51.4044417675903,-2.590746580550728,51,2
358913.07,167488.720000001,48,Chestnut House Lift 01,358913.07,167488.72,51.4044417675903,-2.590746580550728,51,2
358913.07,167488.720000001,49,Chestnut House Lift Lobby,358913.07,167488.72,51.4044417675903,-2.590746580550728,51,2
358913.07,167488.720000001,50,Chestnut House Front Lobby,358913.07,167488.72,51.4044417675903,-2.590746580550728,51,2
358914.16,167494.27,51,Chestnut House Front Door Panel,358914.16,167494.27,51.404491753149486,-2.5907315524679095,51,2
