sensor_id,longitude,latitude,cluster_geo,cctv_300m
1,-2.591538,51.453815,2,52
2,-2.592004,51.453865,2,53
4,-2.595743,51.453281,2,184
5,-2.590382,51.453285,2,49
6,-2.59043,51.453117,2,49
11,-2.60682,51.463131,1,7
12,-2.5962,51.458141,2,7
13,-2.59318,51.452721,2,55
14,-2.58869,51.451591,2,8
19,-2.55208,51.457859,0,14
20,-2.55224,51.45771,0,14
21,-2.55377,51.452221,0,4
22,-2.55413,51.452122,0,4
23,-2.56552,51.45755,0,28
24,-2.5645,51.456928,0,34
25,-2.56439,51.45668,0,44
26,-2.56438,51.45565,0,87
27,-2.56394,51.4561,0,79
28,-2.55787,51.45726,0,15
29,-2.56222,51.456741,0,79
30,-2.56216,51.456539,0,80
31,-2.55117,51.459671,0,20
32,-2.55049,51.45974,0,25
33,-2.5508,51.459839,0,25
34,-2.5608,51.454868,0,121
35,-2.56035,51.454739,0,121
36,-2.56207,51.453049,0,118
37,-2.55434,51.457649,0,4
38,-2.55316,51.459541,0,14
42,-2.55535,51.457691,0,4
43,-2.55157,51.455051,0,4
44,-2.55153,51.455669,0,0
45,-2.56587,51.456242,0,31
47,-2.55944,51.469219,1,4
48,-2.608546,51.464279,1,6
49,-2.58758,51.45163,2,4
50,-2.58764,51.45192,2,5
51,-2.58522,51.45005,2,29
54,-2.5901,51.452999,2,49
56,-2.57586,51.469688,1,1
61,-2.61689,51.478741,1,0
63,-2.61621,51.47913,1,0
101,-2.60026,51.455551,2,138
103,-2.59698,51.45768,2,6
104,-2.60206,51.455559,2,110
105,-2.60056,51.457691,2,0
