sensor_id,ward_name,safety_after_dark_pct
1,Central,53.5
2,Central,53.5
4,Central,53.5
5,Central,53.5
6,Central,53.5
11,Clifton Down,75.6
12,Central,53.5
13,Central,53.5
14,Central,53.5
19,St George West,47.9
20,St George West,47.9
21,St George West,47.9
22,Easton,45.6
23,Lawrence Hill,31.2
24,Lawrence Hill,31.2
25,Lawrence Hill,31.2
26,Lawrence Hill,31.2
27,Lawrence Hill,31.2
28,Easton,45.6
29,Easton,45.6
30,Easton,45.6
31,St George West,47.9
32,St George West,47.9
33,St George West,47.9
34,Lawrence Hill,31.2
35,Easton,45.6
36,Lawrence Hill,31.2
37,St George West,47.9
38,St George West,47.9
42,Easton,45.6
43,St George West,47.9
44,St George West,47.9
45,Lawrence Hill,31.2
47,Easton,45.6
48,Clifton Down,75.6
49,Central,53.5
50,Central,53.5
51,Central,53.5
54,Central,53.5
56,Ashley,49.3
61,Stoke Bishop,73.8
63,Westbury-on-Trym & Henleaze,79.6
101,Central,53.5
103,Central,53.5
104,Central,53.5
105,Central,53.5
